input	target
Sinshaka kujya mu ishuri.	I don't want to go to school.
Urakoze ku bw' impano yawe.	Thank you for your present.
Urakoze kuntumira mu birori.	Thank you for inviting me to the party.
Urakoze kuntumira mu bukwe.	Thank you for inviting me to the party.
Aba bakobwa bose beza uko ari batatu ni bishwa banjye.	These three pretty girls are all nieces of mine.
Naguhaye igitabo.	I gave you a book.
Mbere yuko nibagirwa,nzakubwira.	Before I forget,I will tell you.
Ubu Burj Khalifa niyo nzu ndende kwisi.	Burj Khalifa is currently the tallest skyscraper in the world.
Mbwira izina ryawe.	Tell me your name.
Birashekeje cyane.	It's very fun.
Wigira isoni,mvugisha.	Don't be shy.Talk to me.
Wigira isoni,nganiriza.	Don't be shy.Talk to me.
Umuhungu arahinga.	The boy is hoeing.
Abakobwa barakora.	The girls work.
Ntabwo nanga ishuri.	I don't hate school.
