input	target
I don't want to go to school.	Sinshaka kujya mu ishuri.
Thank you for your present.	Urakoze ku bw' impano yawe.
Thank you for inviting me to the party.	Urakoze kuntumira mu birori.
Thank you for inviting me to the party.	Urakoze kuntumira mu bukwe.
These three pretty girls are all nieces of mine.	Aba bakobwa bose beza uko ari batatu ni bishwa banjye.
I gave you a book.	Naguhaye igitabo.
Before I forget,I will tell you.	Mbere yuko nibagirwa,nzakubwira.
Burj Khalifa is currently the tallest skyscraper in the world.	Ubu Burj Khalifa niyo nzu ndende kwisi.
Tell me your name.	Mbwira izina ryawe.
It's very fun.	Birashekeje cyane.
Don't be shy.Talk to me.	Wigira isoni,mvugisha.
Don't be shy.Talk to me.	Wigira isoni,nganiriza.
The boy is hoeing.	Umuhungu arahinga.
The girls work.	Abakobwa barakora.
I don't hate school.	Ntabwo nanga ishuri.
