input	target
Imisebenzi inqabile.	Jobs are scarce.
Kutheni uwuyekile umsebenzi wakho efama	Why did you leave your job on the farm
Ndisebenza evenkileni yomhlobo wam.	I work at my friend's shop.
uTom akawuthandi umsebenzi wakhe.	Tom doesn't like his work.
uTom usebenza ekhaya.	Tom works at home.
Kutheni uTom esebenza ekhaya	Why does Tom work at home
Usithetha kakuhle isiXhosa.	You speak Xhosa well.
Ndiyakuthanda kakhulu ukusebenza nabantu.	I really like working with people.
Ndiyakuthanda kakhulu ukusebenza nabantu.	I love working with people.
Ndiyakuthanda kakhulu ukusebenza nabantu.	I very much like working with people.
Umntu ngumntu ngabantu.	People are people through other people.
Umntu ngumntu ngabantu.	A person is a person through other people.
Andifuni ukuthetha.	I don't want to talk.
Andifuni ukuhamba.	I don't want to go.
Unempumlo enkulu.	You have a big nose.
Ndingayifumana phi ivuvuzela	Where can I get a vuvuzela
Andifuni ukujonga.	I don't want to look.
Andifuni ukudlala.	I don't want to play.
Nceda,ndifuna ukukubona.	I'd like to see you,please.
Andazi nto.	I don't need anything.
Andifuni ukulela.	I don't want to sleep.
Ndiyayaz uzothi hayi.	I know you're going to say no.
Andifuni ukuhlala.	I don't want to stay.
Uphi ngoku	Where is it now
Unxibe njengomfazi.	He dressed up as a woman.
Uyalikhumbula igama lakhe	Do you remember her name
UTom ebesoyika kakhulu.	Tom was very scared.
Andifuni ukulila.	I don't want to cry.
Asikho isizatho bawoyike.	There's no reason to be afraid.
Funeke uzame ukundiqonda.	You must try to understand me.
Sizakwala ukwamkela isindululo.	We may refuse to accept the proposal.
Uchithe ixesha ekincinci kwizifundo zakhe.	He spent a little time on his lessons.
Andizukuthatha nxaxheba kwintekelelo.	I won't participate in speculation.
Ndizame ukuzibulala kabini.	I've attempted suicide twice.
Ilizwe laseTurkey livelisa izambiwa phantsi komhlaba ezininzi.	Turkey produces a lot of minerals.
Ngamanye amaxesha ubceda umama wakhe.	She sometimes helps her mother.
Ngaphandle kokuba ngumqabaqaba,andikwazi ukuba nomsebenzi olungileyo.	Without my well being,I can't have a good job.
Hey,beka lo nto apho ubuyithatha khona.	Hey,put that back.
Hey,yintoni enithetha ngayo	Hey,what are you guys talking about
Ndidibene naye izolo kwisitishi senqwelo moya.	I ran into him yesterday at the airport.
Bendifuna ukubukela umboniso bhanyabhanya owoyikisayo,kodwa intombi yam iyoyika,saqesha ohlekisayo.	I wanted to watch a horror movie,but my girlfriend is scared and rented comedy instead.
Ngelinye ixesha ufuna ukuchitha imini yonke ungenzi nto.	Sometimes you just want to spend the whole day doing nothing.
Impuku ngenene iyasazi apho sikhoyo isonka samanzi.	The mouse sure knows where the cheese is located.
Imvula iyekile.	The rain has stopped.
Ukuba ufuna ipudini,kufuneka utye inyama yakho.	If you want pudding,you must eat your meat.
Sohlelwe yintlungu enzulu.	We suffered a devastating loss.
Uzakuya kwitheko ngokuhlwa nje Ukuba awuyi,masambe siyokubukela umboniso bhanya bhanya.	Will you be going to the party tonight If not,let's go watch a movie.
Andifuni ukuxoka.	I don't want to lie.
Ndineminyaka engu-12,yintoni lento	I'm 12 years old and what is this
Hlala ekhaya.	Stay home.
Ufuna ilifti	Do you want a lift
