input	target
This key specifies the number of seconds each frame will be displayed.	Kii a na-ezipụta ọnụọgụgụ nke oge nke otu ntabianya a ga-egosipụta freemu nke ọbụla.
httpwww.google.comsearch qsieUTF-8oeUTF-8	httpwww.google.co.uksearch qsieUTF-8oeUTF-8
There are unsubmitted changes to form elements	Enwere mgbanwe a na-enyeghị na fọm elementị
Duplicate each selected item	Megharịanụdị nke ihenhọrọ nke obụla a họọrọ
Add Bookmark…	Tinye Búùkmáàkị̀
Quit Nautilus.	Kwụsị Nautilus.
No terminal command has been defined.	Onweghị ntiiwu ngwaọrụ mbubata na mbupụ ozi akọwarala.
Background color	Ucha okpuru
File Management Preferences	Nlekọta faịlụ nkarachọ
The location of the .desktop file describing the launcher.This key is only relevant if the objecttype key is launcher-object.	Ebe desktọọpụ faịlụ nà-àkọ́wá obubata.Kii a na-aba uru ma ọ bụrụ na kii objecttype bụ launcher-object.
None use system theme	Onweghị Jiri isiokwu sistem
Create a new launcher	Kewapụta obubata ọfụụ
There was an error reading the folder B.	Enwere ndehie mgbe a na-egosi nnyemaka.
When a panel is deleted,the panel and its settings are lost.	Mgbe ehichara paneelụ,paneelụ na nhazi ya ga-efu.
Edit Menus	Dezie Menu
Open Folder	Debata nsomebefaịlụ
Free space	Ohere a hapụrụno readno access
Icon 's' not found	Achọtaghị aịkọn
The history location doesn't exist.	Ebe ahụ s anaghị arụ ọrụ.
Delete Permanently	Hichaa ozugbo
Force Quit	Nwepụ n'ike
Moving file 'd of 'd in B to B	Ikpụgha faịlụ
This key specifies the number of seconds each frame will be displayed.	Kii a na-ezipụta ọnụọgụgụ nke oge nke otu ntabianya a ga-egosipụta freemu nke ọbụla.
The emblems do not appear to be valid images.	Akara ahụ apụtaghị ka ọ bụrụ inyogo ndị nwereisi.
a,b -d Y at -IM p	a,b -d Y at -IM p
Select all bookmarks or text	Họrọ búùkmáàks niile mọọbụ ngwe
The format of file dates.Possible values are locale,iso,and informal.	Ọdịdị nke ụbọchị faịlụ.Uru dị mmenwu bụ locale,iso,na informal.
Temporary files	Kọmputa faịlụ ebenchekwaozi nwaobere
Untitled Document	Kewapụta dọkumentị
Failed to load theme s s	Ọdịda n'ịdebata isiokwu s s
Blank page	Ihuakwụkwọ ghe oghe
Move the current selection to the desktop	Kpụga ihenhọrọ nke ọbụla a họọrọ n'ebemkpofuozi
