input	target
I love you.	Mo nifẹẹ rẹ.
My name is Jack.	Jack lorúkọ mi.
I don't want to go to school.	Mi ò fẹ́ lọ sí ilé-ẹ́kọ́.
I'm a doctor.	Onísègùn ni mí.
I have brothers.	Mo ní àwọn arákunrin.
Burj Khalifa is currently the tallest skyscraper in the world.	Burj Khalifa je agbar tó ga ju ni gbògbó ayè.
Who is Emily	Ta ni Emily
I have two cats.	Mo ní ológbò méjì.
The horse is white.	Ẹṣin jẹ́ funfun.
The horse is not white.	Ẹṣin kìí ṣe funfun.
This horse is white.	Ẹṣin yìí jẹ́ funfun.
That horse is white.	Ẹṣin náà jẹ́ funfun.
This horse is not white.	Ẹṣin yìí kìí ṣe funfun.
That horse is not white.	Ẹṣin náà kìí ṣe funfun.
You're a doctor.	Onísègùn ni ẹ́.
She's a doctor.	Onísègùn ni.
He's a doctor.	Onísègùn ni.
We're doctors.	Onísègùn ni wá.
You're doctors.	Onísègùn ni yín.
They're doctors.	Onísègùn ni wọ́n.
My wife went to the farm.	Ìyàwó mi lọ sí oko.
His money is in the bank.	Owó rẹ̀ wà ní bánkì.
It surprises me.	Ó yà mí l'ẹ́nu.
It's midday.	Agogo mejila ọsan.
I want to buy a book.	Mo fẹ́ rà ìwé.
The book isn't new.	Ìwé kìí ṣe titun.
One shouldn't injure during the day,the body side on which one will lie at night.	Ẹ̀gbẹ́ táa máa fi sùn lálẹ́,kò yẹ ká fi gbọgbẹ́ lọ́ọ̀sán.
It's one who shares in another's wealth that hails him as a generous person.	Ẹni tó bá ńjẹ nínú ọlà ẹnìkan nií pèé ní anímáṣaun.
There are islands in the sea.	Àwọn erékùṣù wà ní òkun.
Water is life.	Omi ni ayé.
Did you go to the market yesterday	Ṣé o lọ sọjà ni àna
I went to the river.	Mo lọ sí odò.
We want complete sentences.	A fẹ́ àwọn ọ̀rọ̀ ní gbólóhùn pípé.
