input	target
Mo nifẹẹ rẹ.	I love you.
Jack lorúkọ mi.	My name is Jack.
Mi ò fẹ́ lọ sí ilé-ẹ́kọ́.	I don't want to go to school.
Onísègùn ni mí.	I'm a doctor.
Mo ní àwọn arákunrin.	I have brothers.
Burj Khalifa je agbar tó ga ju ni gbògbó ayè.	Burj Khalifa is currently the tallest skyscraper in the world.
Ta ni Emily	Who is Emily
Mo ní ológbò méjì.	I have two cats.
Ẹṣin jẹ́ funfun.	The horse is white.
Ẹṣin kìí ṣe funfun.	The horse is not white.
Ẹṣin yìí jẹ́ funfun.	This horse is white.
Ẹṣin náà jẹ́ funfun.	That horse is white.
Ẹṣin yìí kìí ṣe funfun.	This horse is not white.
Ẹṣin náà kìí ṣe funfun.	That horse is not white.
Onísègùn ni ẹ́.	You're a doctor.
Onísègùn ni.	She's a doctor.
Onísègùn ni.	He's a doctor.
Onísègùn ni wá.	We're doctors.
Onísègùn ni yín.	You're doctors.
Onísègùn ni wọ́n.	They're doctors.
Ìyàwó mi lọ sí oko.	My wife went to the farm.
Owó rẹ̀ wà ní bánkì.	His money is in the bank.
Ó yà mí l'ẹ́nu.	It surprises me.
Agogo mejila ọsan.	It's midday.
Mo fẹ́ rà ìwé.	I want to buy a book.
Ìwé kìí ṣe titun.	The book isn't new.
Ẹ̀gbẹ́ táa máa fi sùn lálẹ́,kò yẹ ká fi gbọgbẹ́ lọ́ọ̀sán.	One shouldn't injure during the day,the body side on which one will lie at night.
Ẹni tó bá ńjẹ nínú ọlà ẹnìkan nií pèé ní anímáṣaun.	It's one who shares in another's wealth that hails him as a generous person.
Àwọn erékùṣù wà ní òkun.	There are islands in the sea.
Omi ni ayé.	Water is life.
Ṣé o lọ sọjà ni àna	Did you go to the market yesterday
Mo lọ sí odò.	I went to the river.
A fẹ́ àwọn ọ̀rọ̀ ní gbólóhùn pípé.	We want complete sentences.
