input	target
Olótùú Àtòjọ-ẹ̀yàn	Menu Editor
Àkóónú Wẹ́ẹ̀bù	Web Content
Ṣẹ̀dá Àṣàfilọ́lẹ̀	Create Launcher
Àtòjọ àwọn ìṣàmúlò-ètò àìmọ̀	List of locations
Ó jọ wí pé Epiphany ti jáde láìrò tẹ́lẹ̀ nígbà tí a rọ́ọ̀nù rẹ̀ lẹ́ẹ̀kan.O lè rí àwọn fèrèsé àti táàbù tí o ṣí.	Epiphany appears to have exited unexpectedly the last time it was run.You can recover the opened windows and tabs.
Pánẹ́ẹ̀lì àárín orí ásìsì x	Center panel on x-axis
Ń Bẹ̀rẹ̀	Starting s
Àwọn ìyípadà tí a lò láti dá àwọn fọ́nrán tí a kò tíì fi lélẹ̀ wà	There are unsubmitted changes to form elements
Epiphany RDF	Epiphany RDF
Àkóónú Àtòjọ Fèrèsé	Window List Content
Wá ìṣẹ̀lẹ̀ ìwádìí fọ́nrán tilẹ̀	Find previous occurrence of the search string
A kò ri	Text not found
Ó fi pánẹ́ẹ̀lì pamọ́ sí igun	Automatically hide panel into corner
Ń sọ níp pàtó àwọ̀ ẹ̀yìn fún pánẹ́ẹ̀lì inú ìgúnrégé RGB.	Specifies the background color for the panel in RGB format.
Gbogbo àwọn irúfẹ́ tí a ṣàtílẹ́yìn	All supported types
Àwon Ààyè Wúnrẹ̀nÌwé-ẹ̀rí	Certificate Fields
CyrillicRussian IBM-866	CyrillicRussian IBM-866
Àwọn ẹ̀yàn Awáròyìn Wẹ́ẹ̀bù GNOME	GNOME Web Browser options
Ṣàfikún àmì-ìwé s	Update bookmark s
Pa Àkọlé Jẹ	Delete Topic
Yan ìṣàmúlò-ètò láti wòye àpèjúwe rẹ̀.	Select an application to view its description.
Àwọn àmì-ìwé GaleonKonqueror	GaleonKonqueror bookmarks
Ń sọ níp pàtó àwọ̀ ẹ̀yìn fún pánẹ́ẹ̀lì inú ìgúnrégé RGB.	Specifies the background color for the panel in RGB format.
Àwọn àtòjọ-ètò fún ìráyè ítánẹ́ẹ̀tì bíi wẹ́ẹ̀bù àti lẹ́tà kọ̀ǹpútà	Programs for Internet access such as web and email
Chinese Traditional Big5-HKSCS	Chinese Traditional Big5-HKSCS
Má Ṣàfikún	Don't Update
Tó bá jẹ́ òótọ́,tí o bá ti ń fe ojú fèrèsé gbe lọ sí ààyè-iṣẹ́ lọ́wọ́lọ́wọ́.Láì jẹ́ bẹ́ẹ̀,sún sí ààyè-iṣẹ́ fèrèsé náà.	If true,then when unminimizing a window,move it to the current workspace.Otherwise,switch to the workspace of the window.
Àwọ̀ líle	Solid color
Tó bá jẹ́ òótọ́,a óò yí àwòrán ẹ̀yìn po tí pánẹ́ẹ̀lì náà bá jẹ́ olóòró.	If true,the background image will be rotated when the panel is oriented vertically.
Yan Gbogbo Wọn	Select All
Ṣàyẹ̀wò Àwọn Àtòjọ-ẹ̀yàn	Edit Menus
Yan gbogbo àwọn àmì-ìwé tàbí àyọkà	Select all bookmarks or text
Àwọn àmì-ìwé Epiphany	Epiphany bookmarks
Ààyè fọ́nrán	Disk space
Arabic ISO-8859-6	Arabic ISO-8859-6
Móòdù ìṣàfarawé kọ̀ǹpútà àwòrán	Image animation mode
Vietnamese VISCII	Vietnamese VISCII
Yẹ ohun-èlò ápúlẹ́ẹ̀tì wò	Test applet utility
Àwọn Àwòrán	Image options
Yan àpótí yìí láti rọ́ọ̀nù àṣẹ nínú fèrè̀̀̀̀̀̀sé támínà.	Select this box to run the command in a terminal window.
Fèrèsé Tuntun	New Window
A,B d Y	A B d s
Pánẹ́ẹ̀lì Igun Ọ̀tún Tí A Fẹ̀	Right Expanded Edge Panel
Iye àwọnààyè-iṣẹ́	Number of workspaces
Tó bá jẹ́ òótọ́,Àwọn Ìṣàmúlò-ètò Mímọ̀ tía tòjọ nínú onísọ̀rọ̀gbèsì Rọ́ọ̀nù Ìsàmúlò-ètòwà nílẹ̀.Bóyá a fẹ ìṣàtòjọ náà tàbí a kò fẹ̀ẹ́,nígbà tí onísọ̀rọ̀gbèsì náà bá ti farahàn bọ́tìnì àtòjọàtòjọ-ètòìfihàn ló ń darí rẹ̀.	If true,the Known Applications listing in the Run Application dialog is made available.Whether or not the listing is expanded when the dialog is shown is controlled by the showprogramlist key.
Ńlá Díẹ̀Size	X Large
Àwọn àtòjọ-ètò fún ìráyè ítánẹ́ẹ̀tì bíi wẹ́ẹ̀bù àti lẹ́tà kọ̀ǹpútà	Programs for Internet access such as web and email
Fi kọ́lọ̀mù àdírẹ̀sì nìkan hàn	Show the address column
Àwọn ìdarapọ̀ ìyídà nìkan	Encrypted connections only
Kò gbà rárá	Never accept
Fi àwọn fèrèsé láti inú ààyè-iṣẹ́ lọ́wọ́lọ́wọ́ hàn	Show windows from current workspace
Dídí àwọ̀ ẹ̀yìn	Background color opacity
Nínú àgbékalẹ̀-ètò Xinerama,o lè ní àwọn pánẹ́ẹ̀lì lórí àpótí ìṣàfihàn kọ̀ọ̀kan.Bọ́tìnì yìí ń tọ́ka sí àpótí ìṣàfihàn lọ́wọ́lọ́wọ́ tí a ti ṣàfihàn pánẹ́ẹ̀lì náà lé lórí.	In a Xinerama setup,you may have panels on each individual monitor.This key identifies the current monitor the panel is displayed on.
Mú àtòjọ àtòjọ-ètò inú onísọ̀rọ̀gbèsì Rọ́ọ̀nù Ìsàmúlò-ètò ṣíṣẹ	Enable program list in Run Application dialog
Tẹ bọ́tìnì yìí láti rọ́ọ̀nù ìṣàmúlò-ètò tí a yàn tàbí àṣẹ inúààyè wúnrẹ̀n àmúwọlé àṣẹ.	Click this button to run the selected application or the command in the command entry field.
Yan wúnrẹ̀nkan láti fikún pánẹ́ẹ̀lì	Find an item to add to the panel
Parí iṣẹ́ sáà yìí láti bẹ̀rẹ̀ gẹ́gẹ́ bíi òǹlò mìíràn tàbí kí o pa kọ̀ǹpútà náà	Log out of this session to log in as a different user
Ṣí líǹkì nínú táàbù tuntun	Open link in a new tab
Dáàbòbò kọ̀ǹpútà rẹ lọ́wọ́ ìlò tí kò tọ̀nà1 panelshowusername	Protect your computer from unauthorized use
Ọ̀pọ̀ àwọn àbùdá yìí lati tì sí sàlẹ̀	Some of these properties are locked down
Àwọn ìdarapọ̀ ìyídà nìkan	Encrypted connections only
Rọ́ọ̀nù pẹ̀lú fáìlì.	Run with file.
Lo àwọn ìrísí-lẹ́tà rẹ	Use own fonts
MirrorPantallas en Espejo,not Espejar Pantallas	could not find a suitable configuration of screens
Ṣàfikún Àmì-ìwé.	Add Bookmark…
Pa àkọlé jẹ s	Delete topic s
Orúkọ Òǹlò	User agent
Gbé lórí Àká-irinṣẹ́	Move on Toolbar
Yan gbogbo àwọn líǹkì ìtàn tàbí àyọkà	Select all history links or text
Agbègbè Ìkéde	Notification Area
