input	target
Ana m ele anya ya.	I look forward to it.
Mbe enweghị ezé.	Turtles don't have teeth.
Gwagodi Tomu ka-obata n'ime	Can you ask Tom to come inside
I nwere Ike Igwa Tomu ka-obata n'ime	Can you ask Tom to come inside
I na-akwado Iga ebe ahu	Are you planning to go there
Tomu na Mari akpara Ihe ahu	Did Tom discuss that with Mary
Enwere m ike ibiri gi diksonari a	Can I borrow this dictionary
Ihuru mgbe Tomu bara n'me ugbo ala ahu	Did you see Tom get on the bus
Enwerem ike iju gi ajuju ozo	Could I ask another question
Mu na ndi be Tomu ahubeghi.	I haven't met Tom's family yet.
Akam ahubeghi ndi be Tomu.	I haven't met Tom's family yet.
Amam na Tomu na-aruru Meri Oru.	I know Tom is working for Mary.
Ikwukwara Ihe meru	Did you report what happened
Amam na Tomu choro igwa m okwu.	I know Tom wants to talk to me.
Amam na Tomu choro ka mu na ya kpa.	I know Tom wants to talk with me.
Amam na Tomu choro ka mu na ya kwo.	I know Tom wants to talk with me.
I tinyere ihe na-asa efere ka obido.	Did you start the dishwasher
Mu na Tomu enwere Ike ikwu maka ihea	May I talk about this with Tom
Obu n'imaburo maka ihea	Didn't you know that already
I wepuru ahihia ahu	Did you take out the rubbish
